id,code_prefix_start,code_prefix_end,name,chart_template_id/id
com_grp_1,"1",,"ACTIVO",l10n_cl_dib_comercial
com_grp_11,"11",,"ACTIVO CIRCULANTE",l10n_cl_dib_comercial
com_grp_1101,"1101",,"CAJA",l10n_cl_dib_comercial
com_grp_1102,"1102",,"BANCOS",l10n_cl_dib_comercial
com_grp_1103,"1103",,"MONEDA EXTRANJERA",l10n_cl_dib_comercial
com_grp_1104,"1104",,"DOCUMENTOS EN CARTERA",l10n_cl_dib_comercial
com_grp_1105,"1105",,"DOCUMENTOS EN COBRANZA",l10n_cl_dib_comercial
com_grp_1106,"1106",,"INTEREMPRESAS",l10n_cl_dib_comercial
com_grp_1107,"1107",,"DOCUMENTOS POR COBRAR",l10n_cl_dib_comercial
com_grp_1108,"1108",,"TARJETAS DE CREDITO",l10n_cl_dib_comercial
com_grp_1109,"1109",,"PTMOS Y ANTICIPOS AL PERSONAL",l10n_cl_dib_comercial
com_grp_111,"111",,"OTROS",l10n_cl_dib_comercial
com_grp_1111,"1111",,"MERCADERIAS",l10n_cl_dib_comercial
com_grp_1112,"1112",,"CUENTAS POR COBRAR",l10n_cl_dib_comercial
com_grp_1113,"1113",,"IMPUESTOS",l10n_cl_dib_comercial
com_grp_1114,"1114",,"DOCUMENTOS PROTESTADOS",l10n_cl_dib_comercial
com_grp_1115,"1115",,"INVERSIONES FINANCIERAS",l10n_cl_dib_comercial
com_grp_1118,"1118",,"GASTOS ANTICIPADOS",l10n_cl_dib_comercial
com_grp_112,"112",,"GARANTIAS",l10n_cl_dib_comercial
com_grp_12,"12",,"ACTIVO FIJO",l10n_cl_dib_comercial
com_grp_1201,"1201",,"VEHICULOS",l10n_cl_dib_comercial
com_grp_1202,"1202",,"MAQUINARIA",l10n_cl_dib_comercial
com_grp_1203,"1203",,"MUEBLES Y UTILES",l10n_cl_dib_comercial
com_grp_1204,"1204",,"INSTALACIONES",l10n_cl_dib_comercial
com_grp_13,"13",,"OTROS ACTIVOS",l10n_cl_dib_comercial
com_grp_2,"2",,"PASIVOS",l10n_cl_dib_comercial
com_grp_21,"21",,"PASIVO EXIGIBLE",l10n_cl_dib_comercial
com_grp_2101,"2101",,"CREDITOS BANCARIOS",l10n_cl_dib_comercial
com_grp_2102,"2102",,"CARTAS DE CREDITO",l10n_cl_dib_comercial
com_grp_2103,"2103",,"COBRANZAS",l10n_cl_dib_comercial
com_grp_2104,"2104",,"CUENTAS VARIAS POR PAGAR",l10n_cl_dib_comercial
com_grp_2105,"2105",,"OTRAS CUENTAS POR PAGAR",l10n_cl_dib_comercial
com_grp_2106,"2106",,"IMPUESTOS Y RETENCIONES",l10n_cl_dib_comercial
com_grp_2107,"2107",,"PROVISIONES",l10n_cl_dib_comercial
com_grp_22,"22",,"PASIVO NO EXIGIBLE",l10n_cl_dib_comercial
com_grp_2201,"2201",,"PATRIMONIO",l10n_cl_dib_comercial
com_grp_2202,"2202",,"RESERVAS DE REVALORIZACION",l10n_cl_dib_comercial
com_grp_2204,"2204",,"CUENTAS PARTICULARES",l10n_cl_dib_comercial
com_grp_2205,"2205",,"REVALORIZACION TRIBUTARIA",l10n_cl_dib_comercial
com_grp_3,"3",,"GANANCIAS",l10n_cl_dib_comercial
com_grp_31,"31",,"INGRESOS",l10n_cl_dib_comercial
com_grp_3101,"3101",,"INGRESOS OPERACIONALES",l10n_cl_dib_comercial
com_grp_3102,"3102",,"INGRESOS NO OPERACIONALES",l10n_cl_dib_comercial
com_grp_3103,"3103",,"CORRECION MONETARIA",l10n_cl_dib_comercial
com_grp_4,"4",,"PERDIDAS",l10n_cl_dib_comercial
com_grp_41,"41",,"GASTOS",l10n_cl_dib_comercial
com_grp_4101,"4101",,"GASTOS OPERACIONALES",l10n_cl_dib_comercial
com_grp_4102,"4102",,"COSTO DE VENTA",l10n_cl_dib_comercial
com_grp_4103,"4103",,"CORRECCION MONETARIA",l10n_cl_dib_comercial
com_grp_4104,"4104",,"DIFERENCIA DE CAMBIO",l10n_cl_dib_comercial
com_grp_42,"42",,"GASTOS NO OPERACIONALES",l10n_cl_dib_comercial
com_grp_4201,"4201",,"GASTOS FINANCIEROS",l10n_cl_dib_comercial
com_grp_44,"44",,"IMPUESTO A LA RENTA",l10n_cl_dib_comercial
com_grp_4401,"4401",,"IMPUESTO A LA RENTA",l10n_cl_dib_comercial
com_grp_5,"5",,"CUENTAS DE ORDEN",l10n_cl_dib_comercial
com_grp_51,"51",,"ORDEN DEBE",l10n_cl_dib_comercial
com_grp_52,"52",,"ORDEN HABER",l10n_cl_dib_comercial
imb_grp_1,"1",,"Activos",l10n_cl_dib_inmobiliaria
imb_grp_11,"11",,"Activos Circulante",l10n_cl_dib_inmobiliaria
imb_grp_1101,"1101",,"Disponible",l10n_cl_dib_inmobiliaria
imb_grp_110101,"110101",,"Caja",l10n_cl_dib_inmobiliaria
imb_grp_110102,"110102",,"Bancos",l10n_cl_dib_inmobiliaria
imb_grp_110103,"110103",,"Fondos Disponibles",l10n_cl_dib_inmobiliaria
imb_grp_1102,"1102",,"Deudores por Venta",l10n_cl_dib_inmobiliaria
imb_grp_110201,"110201",,"Clientes",l10n_cl_dib_inmobiliaria
imb_grp_110203,"110203",,"Fondos Mutuos",l10n_cl_dib_inmobiliaria
imb_grp_1103,"1103",,"Documentos por Cobrar",l10n_cl_dib_inmobiliaria
imb_grp_110301,"110301",,"Documentos por Cobrar",l10n_cl_dib_inmobiliaria
imb_grp_1104,"1104",,"Deudores Varios",l10n_cl_dib_inmobiliaria
imb_grp_110401,"110401",,"Cuentas Corrientes Del Persona",l10n_cl_dib_inmobiliaria
imb_grp_110402,"110402",,"Anticipos Proveedores",l10n_cl_dib_inmobiliaria
